"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","phenol-containing compound metabolic process","GO:0018958","false","0.03517504857412054","1.4537652941644903","114","320","7","21026","GCH1,GPR37,OCA2,NPR1,TGFB2,DIO2,CHRNB2"
"GO:BP","keratinocyte proliferation","GO:0043616","false","0.03605833995774472","1.442994271063043","58","320","5","21026","FERMT1,FST,EFNB2,CDKN1A,FGF7"
"GO:BP","erythrocyte homeostasis","GO:0034101","false","0.0361135641499714","1.442329647704996","147","320","8","21026","KLF2,DMTN,TRIM58,ID2,MB,INHA,HCLS1,ACVR2A"
"GO:BP","regulation of striated muscle cell differentiation","GO:0051153","false","0.0361135641499714","1.442329647704996","85","320","6","21026","EFNB2,HDAC9,LMOD3,MEF2C,FOXP1,CAV3"
"GO:BP","cGMP-mediated signaling","GO:0019934","false","0.0361135641499714","1.442329647704996","35","320","4","21026","AGT,NPPA,NPR1,PDE11A"
"GO:BP","stem cell development","GO:0048864","false","0.037737960428002974","1.4232215752574535","86","320","6","21026","SEMA3E,KBTBD8,PITX2,SEMA3D,FOLR1,NRP2"
"GO:BP","mesenchymal cell migration","GO:0090497","false","0.037841720243409496","1.4220291292670995","59","320","5","21026","SEMA3E,PITX2,SEMA3D,FOLR1,NRP2"
"GO:BP","cardiac muscle cell differentiation","GO:0055007","false","0.03896344673526936","1.4093426320835207","117","320","7","21026","EFNB2,CSRP3,MEF2C,PRICKLE1,ADPRHL1,FOXP1,CAV3"
"GO:BP","negative regulation of calcium ion transport","GO:0051926","false","0.039988867192542965","1.3980608984170133","60","320","5","21026","CLIC2,TRDN,CASQ2,MRLN,CAV3"
"GO:BP","L-alanine transmembrane transport","GO:1904557","true","0.040253449895247984","1.3951968927802525","5","320","2","21026","SLC7A8,SLC38A5"
"GO:BP","thiamine diphosphate metabolic process","GO:0042357","false","0.040253449895247984","1.3951968927802525","5","320","2","21026","SLC19A3,TPK1"
"GO:BP","regulation of cardioblast differentiation","GO:0051890","false","0.040253449895247984","1.3951968927802525","5","320","2","21026","TGFB2,PRICKLE1"
"GO:BP","thiamine diphosphate biosynthetic process","GO:0009229","false","0.040253449895247984","1.3951968927802525","5","320","2","21026","SLC19A3,TPK1"
"GO:BP","thiamine-containing compound biosynthetic process","GO:0042724","false","0.040253449895247984","1.3951968927802525","5","320","2","21026","SLC19A3,TPK1"
"GO:BP","morphogenesis of a branching epithelium","GO:0061138","false","0.043873760070740155","1.357795144076996","189","320","9","21026","TNC,AGT,FOXA1,SEMA3E,LEF1,EGF,FGF7,PKHD1,CAV3"
"GO:BP","biogenic amine biosynthetic process","GO:0042401","false","0.04449714192451596","1.3516678830926345","38","320","4","21026","GCH1,GPR37,AANAT,TGFB2"
"GO:BP","positive regulation of vascular associated smooth muscle cell proliferation","GO:1904707","false","0.04449714192451596","1.3516678830926345","38","320","4","21026","CALCRL,NR4A3,P2RY6,IGFBP5"
"GO:BP","long-chain fatty-acyl-CoA biosynthetic process","GO:0035338","true","0.0474489885748175","1.323773040582467","19","320","3","21026","HACD1,ACSL5,ELOVL7"
"GO:BP","aortic valve morphogenesis","GO:0003180","false","0.0474489885748175","1.323773040582467","39","320","4","21026","CDH11,SNAI1,NPPA,ELN"
"GO:BP","amine biosynthetic process","GO:0009309","false","0.0474489885748175","1.323773040582467","39","320","4","21026","GCH1,GPR37,AANAT,TGFB2"
"GO:BP","branching morphogenesis of an epithelial tube","GO:0048754","false","0.0474489885748175","1.323773040582467","157","320","8","21026","TNC,AGT,FOXA1,SEMA3E,LEF1,EGF,PKHD1,CAV3"
"GO:BP","molting cycle","GO:0042303","false","0.04841236871270537","1.3150436677476613","124","320","7","21026","SNAI1,FERMT1,FST,TGFB2,IGFBP5,EDA,FGF7"
"GO:BP","hair cycle","GO:0042633","false","0.04841236871270537","1.3150436677476613","124","320","7","21026","SNAI1,FERMT1,FST,TGFB2,IGFBP5,EDA,FGF7"
